,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV,RM+DIS,aha
0,0.00632,18.0,2.31,0.0,0a.5b3 8c,6.575,65.2,4.09,...a1_.//b,296,15.3,396.9,4.98,24.0,6.575 4.09,aha
1,0.02731,0.0,7.07,0.0,0a.4b6 9c,6.421,78.9,4.9671,...a2_.//b,242,17.8,396.9,9.14,21.6,6.421 4.9671,aha
2,0.02729,0.0,7.07,0.0,0a.4b6 9c,7.185,61.1,4.9671,...a2_.//b,242,17.8,392.83,4.03,34.7,7.185 4.9671,aha
3,0.03237,0.0,2.18,0.0,0a.4b5 8c,6.998,45.8,6.0622,...a3_.//b,222,18.7,394.63,2.94,33.4,6.998 6.0622,aha
4,0.06905,0.0,2.18,0.0,0a.4b5 8c,7.147,54.2,6.0622,...a3_.//b,222,18.7,396.9,,36.2,7.147 6.0622,aha
5,0.02985,0.0,2.18,0.0,0a.4b5 8c,6.43,58.7,6.0622,...a3_.//b,222,18.7,394.12,5.21,28.7,6.43 6.0622,aha
6,0.08829,12.5,7.87,,0a.5b2 4c,6.012,66.6,5.5605,...a5_.//b,311,15.2,395.6,12.43,22.9,6.012 5.5605,aha
7,0.14455,12.5,7.87,0.0,0a.5b2 4c,6.172,96.1,5.9505,...a5_.//b,311,15.2,396.9,19.15,27.1,6.172 5.9505,aha
8,0.21124,12.5,7.87,0.0,0a.5b2 4c,5.631,100.0,6.0821,...a5_.//b,311,15.2,386.63,29.93,16.5,5.631 6.0821,aha
9,0.17004,12.5,7.87,,0a.5b2 4c,6.004,85.9,6.5921,...a5_.//b,311,15.2,386.71,17.1,18.9,6.004 6.5921,aha
10,0.22489,12.5,7.87,0.0,0a.5b2 4c,6.377,94.3,6.3467,...a5_.//b,311,15.2,392.52,20.45,15.0,6.377 6.3467,aha
11,0.11747,12.5,7.87,0.0,0a.5b2 4c,6.009,82.9,6.2267,...a5_.//b,311,15.2,396.9,13.27,18.9,6.009 6.2267,aha
12,0.09378,12.5,7.87,0.0,0a.5b2 4c,5.889,39.0,5.4509,...a5_.//b,311,15.2,390.5,15.71,21.7,5.889 5.4509,aha
13,0.62976,0.0,8.14,0.0,0a.5b3 8c,5.949,61.8,4.7075,...a4_.//b,307,21.0,396.9,8.26,20.4,5.949 4.7075,aha
14,0.63796,0.0,8.14,,0a.5b3 8c,6.096,84.5,4.4619,...a4_.//b,307,21.0,380.02,10.26,18.2,6.096 4.4619,aha
15,0.62739,0.0,8.14,0.0,0a.5b3 8c,5.834,56.5,4.4986,...a4_.//b,307,21.0,395.62,8.47,19.9,5.834 4.4986,aha
16,1.05393,0.0,8.14,0.0,0a.5b3 8c,5.935,29.3,4.4986,...a4_.//b,307,21.0,386.85,6.58,23.1,5.935 4.4986,aha
17,0.7842,0.0,8.14,0.0,0a.5b3 8c,5.99,81.7,4.2579,...a4_.//b,307,21.0,386.75,14.67,17.5,5.99 4.2579,aha
18,0.80271,0.0,8.14,0.0,0a.5b3 8c,5.456,36.6,3.7965,...a4_.//b,307,21.0,288.99,11.69,20.2,5.456 3.7965,aha
19,0.7258,0.0,8.14,0.0,0a.5b3 8c,5.727,69.5,3.7965,...a4_.//b,307,21.0,390.95,11.28,18.2,5.727 3.7965,aha
20,1.25179,0.0,8.14,0.0,0a.5b3 8c,5.57,98.1,3.7979,...a4_.//b,307,21.0,376.57,21.02,13.6,5.57 3.7979,aha
21,0.85204,0.0,8.14,0.0,0a.5b3 8c,5.965,89.2,4.0123,...a4_.//b,307,21.0,392.53,13.83,19.6,5.965 4.0123,aha
22,1.23247,0.0,8.14,0.0,0a.5b3 8c,6.142,91.7,3.9769,...a4_.//b,307,21.0,396.9,18.72,15.2,6.142 3.9769,aha
23,0.98843,0.0,8.14,0.0,0a.5b3 8c,5.813,100.0,4.0952,...a4_.//b,307,21.0,394.54,19.88,14.5,5.813 4.0952,aha
24,0.75026,0.0,8.14,0.0,0a.5b3 8c,5.924,94.1,4.3996,...a4_.//b,307,21.0,394.33,16.3,15.6,5.924 4.3996,aha
25,0.84054,0.0,8.14,0.0,0a.5b3 8c,5.599,85.7,4.4546,...a4_.//b,307,21.0,303.42,16.51,13.9,5.599 4.4546,aha
26,0.67191,0.0,8.14,0.0,0a.5b3 8c,5.813,90.3,4.682,...a4_.//b,307,21.0,376.88,14.81,16.6,5.813 4.682,aha
27,0.95577,0.0,8.14,0.0,0a.5b3 8c,6.047,88.8,4.4534,...a4_.//b,307,21.0,306.38,17.28,14.8,6.047 4.4534,aha
28,0.77299,0.0,8.14,0.0,0a.5b3 8c,6.495,94.4,4.4547,...a4_.//b,307,21.0,387.94,12.8,18.4,6.495 4.4547,aha
29,1.00245,0.0,8.14,0.0,0a.5b3 8c,6.674,87.3,4.239,...a4_.//b,307,21.0,380.23,11.98,21.0,6.674 4.239,aha
30,1.13081,0.0,8.14,0.0,0a.5b3 8c,5.713,94.1,4.233,...a4_.//b,307,21.0,360.17,22.6,12.7,5.713 4.233,aha
31,1.35472,0.0,8.14,0.0,0a.5b3 8c,6.072,100.0,4.175,...a4_.//b,307,21.0,376.73,13.04,14.5,6.072 4.175,aha
32,1.38799,0.0,8.14,0.0,0a.5b3 8c,5.95,82.0,3.99,...a4_.//b,307,21.0,232.6,27.71,13.2,5.95 3.99,aha
33,1.15172,0.0,8.14,0.0,0a.5b3 8c,5.701,95.0,3.7872,...a4_.//b,307,21.0,358.77,18.35,13.1,5.701 3.7872,aha
34,1.61282,0.0,8.14,0.0,0a.5b3 8c,6.096,96.9,3.7598,...a4_.//b,307,21.0,248.31,20.34,13.5,6.096 3.7598,aha
35,0.06417,0.0,5.96,0.0,0a.4b9 9c,5.933,68.2,3.3603,...a5_.//b,279,19.2,396.9,,18.9,5.933 3.3603,aha
36,0.09744,0.0,,0.0,0a.4b9 9c,5.841,61.4,3.3779,...a5_.//b,279,19.2,377.56,11.41,20.0,5.841 3.3779,aha
37,0.08014,0.0,5.96,0.0,0a.4b9 9c,5.85,41.5,3.9342,...a5_.//b,279,19.2,396.9,8.77,21.0,5.85 3.9342,aha
38,0.17505,0.0,5.96,0.0,0a.4b9 9c,5.966,30.2,3.8473,...a5_.//b,279,19.2,393.43,10.13,24.7,5.966 3.8473,aha
39,0.02763,75.0,2.95,0.0,0a.4b2 8c,6.595,21.8,5.4011,...a3_.//b,252,18.3,395.63,4.32,30.8,6.595 5.4011,aha
40,0.03359,75.0,2.95,0.0,0a.4b2 8c,7.024,15.8,5.4011,...a3_.//b,252,18.3,395.62,1.98,34.9,7.024 5.4011,aha
41,0.12744,0.0,6.91,0.0,0a.4b4 8c,6.77,2.9,5.7209,...a3_.//b,233,17.9,385.41,4.84,26.6,6.77 5.7209,aha
42,0.1415,0.0,6.91,0.0,0a.4b4 8c,6.169,6.6,5.7209,...a3_.//b,233,17.9,383.37,5.81,25.3,6.169 5.7209,aha
43,0.15936,0.0,6.91,,0a.4b4 8c,6.211,6.5,5.7209,...a3_.//b,233,17.9,394.46,7.44,24.7,6.211 5.7209,aha
44,0.12269,0.0,6.91,0.0,0a.4b4 8c,6.069,40.0,5.7209,...a3_.//b,233,17.9,389.39,9.55,21.2,6.069 5.7209,aha
45,0.17142,0.0,6.91,0.0,0a.4b4 8c,5.682,33.8,5.1004,...a3_.//b,233,17.9,396.9,10.21,19.3,5.682 5.1004,aha
46,0.18836,0.0,6.91,0.0,0a.4b4 8c,5.786,33.3,5.1004,...a3_.//b,233,17.9,396.9,14.15,20.0,5.786 5.1004,aha
47,0.22927,0.0,,0.0,0a.4b4 8c,6.03,85.5,5.6894,...a3_.//b,233,17.9,392.74,18.8,16.6,6.03 5.6894,aha
48,0.25387,0.0,6.91,0.0,0a.4b4 8c,5.399,95.3,5.87,...a3_.//b,233,17.9,396.9,30.81,14.4,5.399 5.87,aha
49,0.21977,0.0,6.91,0.0,0a.4b4 8c,5.602,62.0,6.0877,...a3_.//b,233,17.9,396.9,16.2,19.4,5.602 6.0877,aha
50,0.08873,21.0,5.64,0.0,0a.4b3 9c,5.963,45.7,6.8147,...a4_.//b,243,16.8,395.56,13.45,19.7,5.963 6.8147,aha
51,0.04337,21.0,,0.0,0a.4b3 9c,6.115,63.0,6.8147,...a4_.//b,243,16.8,393.97,9.43,20.5,6.115 6.8147,aha
52,0.0536,21.0,5.64,0.0,0a.4b3 9c,6.511,21.1,6.8147,...a4_.//b,243,16.8,396.9,5.28,25.0,6.511 6.8147,aha
53,,21.0,5.64,0.0,0a.4b3 9c,5.998,21.4,6.8147,...a4_.//b,243,16.8,396.9,8.43,23.4,5.998 6.8147,aha
54,0.0136,75.0,4.0,0.0,0a.4b1 c,5.888,47.6,7.3197,...a3_.//b,469,21.1,396.9,14.8,18.9,5.888 7.3197,aha
55,0.01311,90.0,1.22,0.0,0a.4b0 3c,7.249,21.9,8.6966,...a5_.//b,226,17.9,395.93,4.81,35.4,7.249 8.6966,aha
56,0.02055,85.0,0.74,0.0,0a.4b1 c,6.383,35.7,9.1876,...a2_.//b,313,17.3,396.9,5.77,24.7,6.383 9.1876,aha
57,0.01432,100.0,1.32,0.0,0a.4b1 1c,6.816,40.5,8.3248,...a5_.//b,256,15.1,392.9,3.95,31.6,6.816 8.3248,aha
58,0.15445,25.0,5.13,0.0,0a.4b5 3c,6.145,29.2,7.8148,...a8_.//b,284,19.7,390.68,6.86,23.3,6.145 7.8148,aha
59,0.10328,25.0,5.13,0.0,0a.4b5 3c,5.927,47.2,6.932,...a8_.//b,284,19.7,396.9,9.22,19.6,5.927 6.932,aha
60,0.14932,25.0,5.13,0.0,0a.4b5 3c,5.741,66.2,7.2254,...a8_.//b,284,19.7,395.11,13.15,18.7,5.741 7.2254,aha
61,0.17171,25.0,5.13,0.0,0a.4b5 3c,5.966,93.4,6.8185,...a8_.//b,284,19.7,378.08,14.44,16.0,5.966 6.8185,aha
62,0.11027,25.0,5.13,0.0,0a.4b5 3c,6.456,67.8,7.2255,...a8_.//b,284,19.7,396.9,6.73,22.2,6.456 7.2255,aha
63,0.1265,25.0,5.13,0.0,0a.4b5 3c,6.762,43.4,7.9809,...a8_.//b,284,19.7,395.58,9.5,25.0,6.762 7.9809,aha
64,0.01951,17.5,1.38,0.0,0a.4b1 61c,7.104,59.5,9.2229,...a3_.//b,216,18.6,393.24,8.05,33.0,7.104 9.2229,aha
65,0.03584,80.0,3.37,0.0,0a.3b9 8c,6.29,17.8,6.6115,...a4_.//b,337,16.1,396.9,4.67,23.5,6.29 6.6115,aha
66,0.04379,80.0,3.37,0.0,0a.3b9 8c,5.787,31.1,6.6115,...a4_.//b,337,16.1,396.9,10.24,19.4,5.787 6.6115,aha
67,0.05789,12.5,6.07,0.0,0a.4b0 9c,5.878,21.4,6.498,...a4_.//b,345,18.9,396.21,8.1,22.0,5.878 6.498,aha
68,0.13554,12.5,6.07,0.0,0a.4b0 9c,5.594,36.8,6.498,...a4_.//b,345,18.9,396.9,13.09,17.4,5.594 6.498,aha
69,0.12816,12.5,6.07,0.0,0a.4b0 9c,5.885,33.0,6.498,...a4_.//b,345,18.9,396.9,8.79,20.9,5.885 6.498,aha
70,0.08826,0.0,10.81,0.0,0a.4b1 3c,6.417,6.6,5.2873,...a4_.//b,305,19.2,383.73,6.72,24.2,6.417 5.2873,aha
71,0.15876,0.0,10.81,0.0,0a.4b1 3c,5.961,17.5,5.2873,...a4_.//b,305,19.2,376.94,9.88,21.7,5.961 5.2873,aha
72,0.09164,0.0,10.81,0.0,0a.4b1 3c,6.065,7.8,5.2873,...a4_.//b,305,19.2,390.91,5.52,22.8,6.065 5.2873,aha
73,0.19539,0.0,10.81,0.0,0a.4b1 3c,6.245,6.2,5.2873,...a4_.//b,305,19.2,377.17,,23.4,6.245 5.2873,aha
74,0.07896,0.0,12.83,0.0,0a.4b3 7c,6.273,,4.2515,...a5_.//b,398,18.7,394.92,6.78,24.1,6.273 4.2515,aha
75,0.09512,0.0,12.83,0.0,0a.4b3 7c,6.286,45.0,4.5026,...a5_.//b,398,18.7,383.23,8.94,21.4,6.286 4.5026,aha
76,0.10153,0.0,12.83,0.0,0a.4b3 7c,6.279,74.5,4.0522,...a5_.//b,398,18.7,373.66,11.97,20.0,6.279 4.0522,aha
77,0.08707,0.0,12.83,0.0,0a.4b3 7c,6.14,45.8,4.0905,...a5_.//b,398,18.7,386.96,10.27,20.8,6.14 4.0905,aha
78,0.05646,0.0,12.83,0.0,0a.4b3 7c,6.232,53.7,5.0141,...a5_.//b,398,18.7,386.4,12.34,21.2,6.232 5.0141,aha
79,0.08387,0.0,12.83,0.0,0a.4b3 7c,5.874,36.6,4.5026,...a5_.//b,398,18.7,396.06,,20.3,5.874 4.5026,aha
80,0.04113,25.0,4.86,0.0,0a.4b2 6c,6.727,33.5,5.4007,...a4_.//b,281,19.0,396.9,5.29,28.0,6.727 5.4007,aha
81,0.04462,25.0,4.86,0.0,0a.4b2 6c,6.619,70.4,5.4007,...a4_.//b,281,19.0,395.63,7.22,23.9,6.619 5.4007,aha
82,0.03659,25.0,4.86,0.0,0a.4b2 6c,6.302,32.2,5.4007,...a4_.//b,281,19.0,396.9,6.72,24.8,6.302 5.4007,aha
83,0.03551,25.0,4.86,0.0,0a.4b2 6c,6.167,46.7,5.4007,...a4_.//b,281,19.0,390.64,7.51,22.9,6.167 5.4007,aha
84,0.05059,0.0,4.49,0.0,0a.4b4 9c,6.389,48.0,4.7794,...a3_.//b,247,18.5,396.9,9.62,23.9,6.389 4.7794,aha
85,0.05735,0.0,4.49,0.0,0a.4b4 9c,6.63,56.1,4.4377,...a3_.//b,247,18.5,392.3,6.53,26.6,6.63 4.4377,aha
86,0.05188,0.0,4.49,0.0,0a.4b4 9c,6.015,45.1,4.4272,...a3_.//b,247,18.5,395.99,12.86,22.5,6.015 4.4272,aha
87,0.07151,0.0,4.49,0.0,0a.4b4 9c,6.121,56.8,3.7476,...a3_.//b,247,18.5,395.15,,22.2,6.121 3.7476,aha
88,0.0566,0.0,3.41,0.0,0a.4b8 9c,7.007,86.3,3.4217,...a2_.//b,270,17.8,396.9,5.5,23.6,7.007 3.4217,aha
89,0.05302,0.0,3.41,0.0,0a.4b8 9c,7.079,63.1,3.4145,...a2_.//b,270,17.8,396.06,5.7,28.7,7.079 3.4145,aha
90,0.04684,0.0,3.41,0.0,0a.4b8 9c,6.417,66.1,3.0923,...a2_.//b,270,17.8,392.18,8.81,22.6,6.417 3.0923,aha
91,0.03932,0.0,3.41,0.0,0a.4b8 9c,6.405,73.9,3.0921,...a2_.//b,270,17.8,393.55,8.2,22.0,6.405 3.0921,aha
92,0.04203,,15.04,0.0,0a.4b6 4c,6.442,53.6,3.6659,...a4_.//b,270,18.2,395.01,8.16,22.9,6.442 3.6659,aha
93,0.02875,28.0,15.04,0.0,0a.4b6 4c,6.211,28.9,3.6659,...a4_.//b,270,18.2,396.33,6.21,25.0,6.211 3.6659,aha
94,0.04294,28.0,15.04,0.0,0a.4b6 4c,6.249,77.3,3.615,...a4_.//b,270,18.2,396.9,10.59,20.6,6.249 3.615,aha
95,0.12204,0.0,2.89,0.0,0a.4b4 5c,6.625,57.8,3.4952,...a2_.//b,276,18.0,357.98,6.65,28.4,6.625 3.4952,aha
96,0.11504,0.0,2.89,0.0,0a.4b4 5c,6.163,69.6,3.4952,...a2_.//b,276,18.0,391.83,11.34,21.4,6.163 3.4952,aha
